Número;Ticket#;Antigüedad;Título;Creado;Last Changed;Fecha de cierre;Cola;Estado;Prioridad;Tiempo contabilizado;SolutionTime;Proceso;Actividad;Cliente;Parche;Estandar;Soporte;Estado de implementacion;Parche Normalizado;Resultado del pasaje;Fecha de aplicacion en TEST;Fecha de aplicacion en PROD;OT;Horas NM;Tipo;Dificultad;Consultor;Estado Desarrollo de OTs;OT Dependiente;Fecha Desarrollo Iniciado;Fecha Fin de Desarrollo;Desarrollador;Fecha Estimada de Entrega;Ticket;Funcional;Modulo / Entidad
18;2021120701000183;205 d 3 h ;Modificación de Puesto de Trabajo de Usuario de Universidad para que acceda solamente a cierto tipo de Trámites;2021-12-07 15:33:37;2022-01-27 13:34:19;2022-01-25 12:59:56;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20211217bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211130_07;4;TRA;4;Nestor Paladino;Desarrollo Finalizado;;2021-12-17 09:30:00;2022-01-17 14:55:00;eis;2021-12-17 11:30:00;;;
19;2021120701000209;204 d 23 h ;Proceso de contabilización diaria de las Garantías por Ejecutar;2021-12-07 19:29:41;2022-02-23 14:29:07;2022-02-23 14:29:07;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20211229bf-09 , co20220208bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211207_01;6;SQL;6;Nestor Paladino;Desarrollo Finalizado;;2021-12-29 16:54:00;2022-02-18 09:23:00;gpg;2021-12-29 16:54:00;;;
20;2021120701000218;204 d 20 h ;Trámite de Ajuste BT;2021-12-07 22:46:39;2022-02-22 17:12:17;2022-02-22 17:12:17;Cerrados;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Bice Fideicomisos;co20211229bf-04,co20220211bf-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_BF_20211207_02;4;TRA;4;Nestor Paladino;Desarrollo Finalizado;;2021-12-20 11:27:00;2022-02-22 16:41:00;grp;2021-12-21 11:27:00;;;
21;2021120701000227;204 d 20 h ;SP de Trámite de AJUSTE BT;2021-12-07 22:49:40;2022-02-22 18:14:41;2022-02-22 18:14:41;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220117bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211207_03;3;SQL;6;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211207_02;2021-12-30 15:40:00;2022-02-16 15:59:00;jm;2021-12-31 09:40:00;;;
22;2021120901000054;203 d 6 h ;Trámite Cobro de Comisiones por Garantías.;2021-12-09 12:41:02;2022-05-20 19:06:33;2022-05-20 19:06:33;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220118bf-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211202_01;3;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-18 11:19:00;2022-01-19 10:14:00;gpg;2022-01-18 11:19:00;;;
23;2021121001000122;201 d 23 h ;Creación de Tabla y SP para Exportador CENDEU;2021-12-10 19:39:30;2022-04-22 08:36:02;2022-04-22 08:36:02;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220201bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211209_01;5;SQL;6;Nestor Paladino;Desarrollo Finalizado;;2022-01-26 10:40:00;2022-02-02 10:18:00;mes;2022-02-26 10:40:00;;;
24;2021121001000131;201 d 23 h ;Exportador CENDEU;2021-12-10 19:43:42;2022-04-22 08:36:37;2022-04-22 08:36:37;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220214bf-01 co20220126bf-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211209_02;2;EXP;5;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211209_01;2022-01-26 09:45:00;2022-02-25 12:51:00;gpg;2022-01-26 09:45:00;;;
25;2021121301000117;199 d 3 h ;Modificar SP_X_BF_EXPORT_OP_BT (Exportador BT);2021-12-13 15:59:35;2022-06-02 10:00:08;2022-06-02 10:00:08;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220209bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211210_02;3;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-09 09:00:00;2022-04-27 11:08:00;mes;2022-02-10 09:00:00;;;
26;2021121301000135;198 d 22 h ;Creación de Tabla y SP para Exportador TRIMESTRAL GARANTIAS BCRA;2021-12-13 20:40:52;2022-03-22 13:47:59;2022-03-22 13:47:59;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220120bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211209_03;5;SQL;5;Nestor Paladino;Desarrollo Finalizado;;2022-01-20 09:53:00;2022-01-20 12:46:00;gpg;2022-01-20 09:53:00;;;
27;2021121301000144;198 d 22 h ;Exportador TRIMESTRAL GARANTIAS BCRA;2021-12-13 20:43:16;2022-03-22 13:50:46;2022-03-22 13:50:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220124bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211209_04;3;EXP;6;Nestor Paladino;Desarrollo Finalizado;;2022-01-24 14:24:00;2022-02-25 13:41:00;gpg;2022-01-24 14:24:00;;;
28;2021121401000115;198 d 3 h ;Importador BT PeopleSoft;2021-12-14 15:34:49;2022-06-02 10:00:27;2022-06-02 10:00:27;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220214bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211208_01;;IMP;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_BF_20211210_02;2022-02-10 10:25:00;2022-04-21 16:05:00;mes;2022-02-10 18:00:00;;;
29;2021121401000124;198 d 3 h ;Modificar SP_X_BF_EXPORT_EJE_GAR (Exportador Garantias);2021-12-14 15:37:58;2022-05-20 18:51:27;2022-05-20 18:51:27;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220107bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211210_03;3;SQL;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-07 16:19:00;2022-01-10 11:57:00;gpg;2022-01-07 16:19:00;;;
30;2021121401000142;198 d 1 h ;Creación de Tabla y SP para Exportador TRIMESTRAL GARANTIAS AUDITOR;2021-12-14 17:27:31;2022-03-22 13:56:04;2022-03-22 13:56:04;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220126-02,co20220126bf-04;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211209_05;8;SQL;6;Nestor Paladino;Desarrollo Finalizado;;2022-01-07 12:59:00;2022-01-27 09:10:00;grp;2022-01-25 12:59:00;;;
31;2021121401000151;198 d 1 h ;Exportador TRIMESTRAL GARANTIAS AUDITOR;2021-12-14 17:29:34;2022-03-22 13:57:07;2022-03-22 13:57:07;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220126bf-05;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211209_06;3;EXP;6;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211209_05;2022-01-25 10:17:00;2022-02-25 12:56:00;grp;2022-01-26 17:17:00;;;
32;2021121501000122;197 d 4 h ;OT_PA_20211214_04 reporte,Estadistica;2021-12-15 14:12:39;2022-02-10 00:05:24;2022-02-10 00:05:24;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Pao;co20220113pa-02, co20211216pa-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PA_20211214_04;4;REP;1;Diego Bonino;Desarrollo Finalizado;;2021-12-16 10:58:00;2022-01-13 17:44:00;gpg;2021-12-16 10:58:00;;;
33;2021121601000022;196 d 9 h ;Revision Performance Exportador de Cartera de Créditos SP_X_BF_EXP_CART_CREDITOS;2021-12-16 09:42:34;2022-02-10 00:07:58;2022-02-10 00:07:58;Soporte Técnico Software::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220201bf-02;Unchecked;Unchecked;Para implementar en PROD;Checked;Correcto;;;SIN OT;8;SQL;6;Nestor Paladino;Desarrollo Finalizado;;2021-12-17 10:00:00;2022-01-17 15:24:00;arj;2021-12-17 13:00:00;;;
34;2021121701000066;195 d 7 h ;Wizzard de originación OM/DGCEL;2021-12-17 11:58:22;2022-01-22 14:16:16;2022-01-22 14:16:16;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20211228-01 co20211227pd-01 co20211220pd-01 co20211220-01 co20211217-02 co20211216pd-01 co20211216pd-02 co20211216pd-03 co20211216pd-04;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;SIN OT;50;WIZ;8;Andres Veiga;Desarrollo Finalizado;;2021-12-17 12:05:00;2022-01-06 17:36:00;sak;2021-12-28 12:05:00;;;
35;2021121701000084;195 d 6 h ;Trámite Depósito de Fondos;2021-12-17 12:31:20;2022-01-13 16:56:10;2022-01-13 16:56:10;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PrestoMas;co20211222pm-01, co20211230pm-01, co20220107-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PM_20211217_02;1;TRA;1;Juan Fernandez;Desarrollo Finalizado;OT_PM_20211217_01;2021-12-22 09:00:00;2022-01-07 17:39:00;eis;2021-12-22 10:00:00;;;
36;2021121701000093;195 d 6 h ;Trámite Extracción de Fondos;2021-12-17 12:32:22;2022-01-13 16:58:51;2022-01-13 16:58:51;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PrestoMas;co20211222pm-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PM_20211217_03;1;TRA;1;Juan Fernandez;Desarrollo Finalizado;OT_PM_20211217_01;2021-12-22 12:10:00;2022-01-07 17:39:00;eis;2021-12-22 13:10:00;;;
37;2021121701000101;195 d 6 h ;Trámite Transferencia;2021-12-17 12:33:33;2022-01-13 15:54:47;2022-01-13 15:54:47;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PrestoMas;co20220107pm-01,co20211222pm-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PM_20211217_04;1;TRA;1;Juan Fernandez;Desarrollo Finalizado;;2021-12-22 10:40:00;2022-01-07 17:39:00;eis;2021-12-22 11:40:00;;;
38;2021122001000149;192 d 1 h ;Exportador de PagoMisCuentas;2021-12-20 17:29:38;2022-02-09 23:53:55;2022-02-09 23:53:55;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220107ah-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_AH_20211220_01;3;EXP;2;Juan Fernandez;Desarrollo Finalizado;;2022-01-07 10:59:00;2022-01-10 09:35:00;gpg;2022-01-07 10:59:00;;;
39;2021122101000031;191 d 8 h ;Modificaciones en contrato de Refi;2021-12-21 10:22:52;2022-04-13 17:00:46;2022-04-13 17:00:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Visir;co20220107vs-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_VS_20211221_01;2;HTML;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-07 14:30:00;2022-01-10 09:06:00;mes;2022-01-09 09:30:00;;;
40;2021122101000058;191 d 8 h ;OT_AH_20211217_02 agragados en wiz originacion;2021-12-21 10:55:11;2022-01-05 13:44:08;2022-01-05 13:44:08;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220103ah-01;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20211217_02;6;WIZ;1;Diego Bonino;Desarrollo Finalizado;;2022-01-03 16:41:00;2022-01-04 13:43:00;eis;2022-01-03 16:41:00;;;
41;2021122101000129;191 d 1 h ;Crear una herramienta donde se indique como un pequeño tablero de Control la posición Diaria de Riesgo Vivo;2021-12-21 17:41:28;2022-02-03 10:48:08;2022-02-03 10:48:08;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20211227bf-02 , co20220125bf-04;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211209_08;5;CGI;5;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211209_07;2021-12-27 14:08:00;2022-02-02 09:12:00;gpg;2021-12-27 14:08:00;;;
42;2021122301000063;189 d 6 h ;Modificar SP_X_BF_PREBT_BAJA - Tipo de Tramite CODIGO = BT-BAJA;2021-12-23 12:13:30;2022-03-09 08:41:17;2022-03-09 08:41:18;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220120bf-02,co20220225bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211222_01;4;SQL;5;Nestor Paladino;Desarrollo Finalizado;;2022-01-19 15:30:00;2022-03-02 10:03:00;mes;2022-01-20 12:00:00;;;
43;2021122401000034;188 d 6 h ;Exportador de Cuenta Corriente;2021-12-24 12:55:17;2022-06-16 16:30:17;;Consultoría::Parches;open;3 normal;0;;OTs;En TEST/Revisión Con...;Bice Fideicomisos;co20220127bf-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_BF_20211224_01;6;EXP;5;Nestor Paladino;Desarrollo Finalizado;;2022-01-20 09:00:00;2022-01-28 18:33:00;jm;2022-01-21 14:00:00;;;
44;2021122701000038;185 d 5 h ;SP de Reprogramación de Cuotas de Prestamos;2021-12-27 13:34:23;2022-04-26 12:28:27;2022-02-11 18:07:38;Consultoría::Parches;open;3 normal;0;;OTs;En TEST/Revisión Con...;Bice Fideicomisos;co20220119bf-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_BF_20211225_01;4;SQL;6;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211208_01;2022-01-19 18:08:00;2022-02-09 15:50:00;sak;2022-01-19 18:08:00;;;
45;2021122701000047;185 d 5 h ;Creación Trámite Reprogramación Cuotas;2021-12-27 13:36:29;2022-01-07 17:41:46;2022-01-07 17:41:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20211228bf-01 , co20211230bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211225_02;5;TRA;4;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211225_01;2021-12-28 10:34:00;2022-01-04 15:59:00;gpg;2021-12-28 10:34:00;;;
46;2021122701000056;185 d 5 h ;Modificación de Importador de Novedades para que puedan generarse reprogramaciones;2021-12-27 13:38:30;2022-04-26 12:21:50;;Consultoría::Parches;open;3 normal;0;;OTs;En TEST/Revisión Con...;Bice Fideicomisos;co20220119bf-01 , co20220203bf-01 , co20220208bf-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_BF_20211225_03;4;SQL;6;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211225_02;2022-01-17 16:30:00;2022-03-08 09:38:00;gpg;2022-01-18 12:30:00;;;
47;2021122801000063;184 d 5 h ;OT_CH_20211228_01 AJUSTES PUESTO ADMIN. MUTUALES;2021-12-28 13:46:13;2022-01-05 13:45:50;2022-01-05 13:45:50;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220104ch-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20211228_01;1;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-01-04 09:30:00;2022-01-04 13:49:00;eis;2022-01-04 10:30:00;;;
48;2021123001000022;182 d 9 h ;OT_PA_20211230_01 Ajustes ABM y lista de precios;2021-12-30 09:26:25;2022-01-03 14:31:15;2022-01-03 14:31:15;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Pao;co20211230-05;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PA_20211230_01;2;ABM;1;Diego Bonino;Desarrollo Finalizado;;2021-12-30 18:23:00;2022-01-03 11:04:00;gpg;2021-12-30 18:23:00;;;
49;2021123001000095;182 d 4 h ;VISIR CIERRE DE CIRCUITO VTEX;2021-12-30 14:53:59;2022-05-17 14:02:09;2022-05-17 14:02:09;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Visir;"co20211230vs-01;co20211230-04";Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;SIN_OT;8;OTR;1;Andres Veiga;Desarrollo Finalizado;;2021-12-30 15:00:00;2022-01-04 10:42:00;mes;2021-12-30 14:00:00;;;
